['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['Sales_dept', '0', 'HR_dept', '63']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['R&D_dept', '0', 'PR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '0', 'PR_dept', '63']
['R&D_dept', '0', 'PR_dept', '2']
['R&D_dept', '63', 'PR_dept', '0']
['R&D_dept', '2', 'PR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '0', 'HR_dept', '63']
[]
[]
['Sales_dept', '0', 'HR_dept', '63']
['Sales_dept', '0', 'HR_dept', '2']
['Sales_dept', '2', 'HR_dept', '0']
[]
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['Sales_dept', '63', 'HR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['R&D_dept', '63', 'PR_dept', '63']
['Sales_dept', '63', 'HR_dept', '0']
['Sales_dept', '2', 'HR_dept', '0']
